"ID","GENERO","RENTA","EDAD","NIV_EDUC","E_CIVIL","COD_OFI","COD_COM","CIUDAD","D_Marzo","D_Abril","D_Mayo","D_Junio","D_Julio","D_Agosto","D_Septiembre","M_MOROSO","MONTO","SEGURO","FUGA"
2295,"M",457693,45,"UNV","CAS",31,119,"SANTIAGO",0,190591,0,20396,0,0,415,1,2700000,"NO",NA
2296,"F",2258382,30,"TEC","SOL",74,272,"VALDIVIA",0,47354,0,0,0,0,2,0,1900000,"NO",NA
2297,"M",546190,51,"UNV","CAS",138,1,"ARICA",622808,61646,0,268771,235,2913,0,1,1100000,"SI",NA
2298,"F",424424,41,"MED","SOL",138,80,"SANTIAGO",0,1054,0,392871,1961,0,1022,3,3500000,"NO",NA
2299,"M",6862726,42,"MED","CAS",52,91,"SANTIAGO",0,264308,0,87931,74,0,38,1,2000000,"NO",NA
2300,"F",3886687,39,"MED","VIU",45,115,"SANTIAGO",0,0,0,96594,0,3930,393,0,2200000,"NO",NA
2301,"F",1455,29,"MED","SOL",117,86,"SANTIAGO",0,221143,0,0,4,0,0,1,900000,"NO",NA
2302,"M",726924,45,"TEC","SOL",138,1,"ARICA",0,239202,0,0,3,0,85,1,3800000,"SI",NA
2303,"F",106848,40,"UNV","CAS",12,13,"CALAMA",0,209963,0,156919,294,4012,754,2,1800000,"NO",NA
2304,"M",1136817,42,"MED","SEP",31,119,"SANTIAGO",0,1667833,0,73406,4229,2504,225,2,3700000,"NO",NA
2305,"F",242578,55,"MED","CAS",27,226,"CONCEPCION",0,3357,0,56860,13,0,42,1,1800000,"NO",NA
2306,"F",546344,34,"TEC","SEP",128,88,"SANTIAGO",0,33439,0,417758,278,0,25,2,2400000,"NO",NA
2307,"F",215333,59,"TEC","CAS",90,67,"VINA DEL MAR",0,26213,0,0,0,0,5,0,1300000,"NO",NA
2308,"F",741118,27,NA,"SOL",56,131,"RANCAGUA",203491,151344,0,0,609,0,0,1,2400000,"NO",NA
2309,"F",321156,26,"MED","CAS",27,226,"CONCEPCION",280476,8570,0,96832,547,0,126,2,1600000,"NO",NA
2310,"M",54502,46,"MED","CAS",55,90,"SANTIAGO",0,135954,0,133478,0,0,229,1,2100000,"NO",NA
2311,"M",93628,47,"MED","CAS",146,121,"SANTIAGO",0,199857,0,1058542,1713,0,9786,3,8000000,"NO",NA
2312,"M",178452,54,"UNV","CAS",127,85,"SANTIAGO",0,505982,0,0,420,0,116,2,8000000,"NO",NA
2313,"M",23230,55,"UNV","CAS",27,226,"CONCEPCION",0,201547,0,0,0,0,48,1,2300000,"NO",NA
2314,"M",151622,33,"TEC","SOL",83,105,"SANTIAGO",0,33394,0,356014,728,9045,1407,2,5000000,"NO",NA
2315,"F",30485,39,"TEC","SOL",80,106,"SANTIAGO",0,423470,0,0,75,0,0,1,1500000,"NO",NA
2316,"F",198841,36,"TEC","VIU",142,93,"SANTIAGO",218191,249096,0,967,3136,0,751,1,5300000,"NO",NA
2317,"F",129320,51,"MED","CAS",93,89,"SANTIAGO",0,183726,0,121969,0,0,0,0,1900000,"NO",NA
2318,"M",160046,36,"TEC","CAS",64,314,"COYHAIQUE",0,663350,0,18955,120,0,10761,2,4200000,"NO",NA
2319,"F",913011,33,"TEC","CAS",84,119,"SANTIAGO",0,20344,0,37690,1,0,108,1,5400000,"NO",NA
2320,"M",1504336,47,"UNV","SOL",138,1,"ARICA",0,2526797,0,0,0,0,1211,1,8000000,"NO",NA
2321,"F",2297287,49,"MED","CAS",40,60,"LA CRUZ",0,95065,0,6988,137,0,2345,1,8000000,"NO",NA
2322,"M",752156,38,"UNV","CAS",29,93,"SANTIAGO",0,720510,0,0,0,293,0,0,2900000,"NO",NA
2323,"F",24586,47,"MED","CAS",103,115,"SANTIAGO",0,49481,0,256484,0,4244,0,1,1800000,"SI",NA
2324,"M",247041,52,"UNV","CAS",27,226,"CONCEPCION",0,4582,0,0,94,2221,0,1,1600000,"NO",NA
2325,"M",497133,34,"UNV","CAS",35,106,"SANTIAGO",0,290037,0,923257,1260,0,1510,1,6500000,"SI",NA
2326,"F",517968,45,"UNV","SOL",85,87,"SANTIAGO",0,325274,0,454087,36,0,337,1,2400000,"NO",NA
